,store_name,address_x,id,address_y,category
126,케르반레스토랑 코엑스점,서울특별시 강남구 삼성동 159 코엑스,,,터키음식
127,롯데호텔월드 룸서비스,서울특별시 송파구 잠실동 40-1 롯데월드,,,양식
128,일품당 프리미엄,서울특별시 종로구 내수동 1 세종클럽 3층,,,일식
129,케르반 서울역점,서울특별시 중구 남대문로5가 526 대우재단빌딩 3층 1호,,,터키음식
130,쉐라톤서울디큐브시티호텔 룸서비스,서울특별시 구로구 신도림동 692 디큐브시티,,,양식
131,파티나라하이비스,서울특별시 중구 의주로1가 32-2 바비엥-1 2층,,,한식
134,별난오리,서울특별시 종로구 창신동 464-30 지상2층,178057,서울특별시 종로구 창신동 464-30,한식
135,두바이,서울특별시 용산구 이태원동 127-2 2층 두바이레스토랑,,,아시아음식
136,피스트,서울특별시 구로구 신도림동 692 디큐브시티 41층,439701,서울특별시 구로구 신도림동 692 41층,뷔페식
138,타지팰리스,서울특별시 용산구 이태원동 132-2 2층,,,인도음식
139,구르카 레스토랑,서울특별시 중구 명동2가 32-14 4층,,,인도음식
140,러빙헛스마일,서울특별시 강남구 개포동 1171 민경H동 102호,,,양식
141,그랜드 힐튼 서울 에이트리움 카페,서울특별시 서대문구 홍은동 201-1 스위스그랜드호텔 지하 로비층,,,양식
142,그랜드 힐튼 서울 뷔페레스토랑,서울특별시 서대문구 홍은동 201-1 스위스그랜드호텔 지하 로비층,,,뷔페식
143,머노까머나 신촌점,서울특별시 서대문구 창천동 52-25 2층,,,인도음식
144,머노까머나 대학로점,서울특별시 종로구 명륜4가 187 이화빌딩 2층,,,인도음식
145,일도씨닭갈비 목동점,서울특별시 양천구 목동 917-9 현대41타워 3층,,,한식
146,일도씨닭갈비 방배점,서울특별시 서초구 방배동 1022-1 우진빌딩 1층,,,한식
147,일도씨닭갈비 미아점,서울특별시 강북구 미아동 55-40 1층,,,한식
148,아마 홍대점,서울특별시 마포구 서교동 371-4,,,인도음식
149,아마 신촌점,서울특별시 서대문구 창천동 52-67 2층,,,인도음식
150,메이필드호텔 룸서비스,서울특별시 강서구 외발산동 426 메이필드호텔,,,한식
151,메이필드호텔 라페스타,서울특별시 강서구 외발산동 426 메이필드호텔,,,양식
152,메이필드호텔 낙원,서울특별시 강서구 외발산동 426 메이필드호텔,,,한식
153,롯데호텔,서울특별시 중구 소공동 1 롯데호텔 ,,,양식
154,롯데호텔 라세느,서울특별시 중구 소공동 1 롯데호텔,,,뷔페식
155,롯데호텔 페닌슐라 라운지,서울특별시 중구 소공동 1 롯데호텔,,,카페
156,일도씨닭갈비 광화문점,서울특별시 중구 태평로1가 84 파이낸스빌딩 지하 2층,,,한식
157,신라호텔 콘티넨탈,서울특별시 중구 장충동2가 202 신라호텔 23층,,,양식
